strategy,s,l,b,c,d,contrarian,mean_excess_return_bps,sharpe_ratio,sharpe_ratio_diff,n_trades,total_return,benchmark_return,betc,n,x,v,k
"OBV(2,5,0.05,0,1)",2.0,5.0,0.05,0,1.0,False,-0.059841414871377514,-0.17281686345845662,-0.7006689736388768,2636,-0.930917828396184,2.8433939062298514,-1.7657773679745523,,,,
"OBV(2,15,0.05,1,0)",2.0,15.0,0.05,1,0.0,False,-0.05997035164769557,-0.1743265529000324,-0.7021786630804526,3343,-0.939050115858439,2.8433939062298514,-1.4045021176464838,,,,
"OBV(2,3,0.025,2,0)",2.0,3.0,0.025,2,0.0,False,-0.06031268205932535,-0.17833481671625037,-0.7061869268966706,3792,-0.9606415453477114,2.8433939062298514,-1.266668704308691,,,,
"OBV(3,15,0.05,2,2)",3.0,15.0,0.05,2,2.0,False,-0.060609010680136965,-0.18180446610888165,-0.7096565762893019,2559,-0.9793315544866792,2.8433939062298514,-1.913504405015004,,,,
"OBV(3,15,0.05,0,2)",3.0,15.0,0.05,0,2.0,False,-0.060609010680136965,-0.18180446610888165,-0.7096565762893019,2559,-0.9793315544866792,2.8433939062298514,-1.913504405015004,,,,
"OBV(3,15,0.05,1,2)",3.0,15.0,0.05,1,2.0,False,-0.060609010680136965,-0.18180446610888165,-0.7096565762893019,2559,-0.9793315544866792,2.8433939062298514,-1.913504405015004,,,,
"OBV(2,15,0.05,0,0)",2.0,15.0,0.05,0,0.0,False,-0.06063167690645643,-0.18206985013735355,-0.7099219603177738,3377,-0.9807611564464784,2.8433939062298514,-1.45211897608303,,,,
"OBV(3,15,0.05,2,0)",3.0,15.0,0.05,2,0.0,False,-0.06069797263273117,-0.18284609075197752,-0.7106982009323978,3011,-0.9849425538645058,2.8433939062298514,-1.635573819104128,,,,
"OBV(5,10,0.025,1,2)",5.0,10.0,0.025,1,2.0,False,-0.0607874790939876,-0.1838941096867554,-0.7117462198671756,3327,-0.9905878964382253,2.8433939062298514,-1.4887103944067106,,,,
"OBV(5,10,0.025,0,2)",5.0,10.0,0.025,0,2.0,False,-0.0607874790939876,-0.1838941096867554,-0.7117462198671756,3327,-0.9905878964382253,2.8433939062298514,-1.4887103944067106,,,,
"OBV(5,10,0.025,2,2)",5.0,10.0,0.025,2,2.0,False,-0.0607874790939876,-0.1838941096867554,-0.7117462198671756,3327,-0.9905878964382253,2.8433939062298514,-1.4887103944067106,,,,
"MA(7,10,0.001,0,2)",7.0,10.0,0.001,0,2.0,False,-0.060825334858078464,-0.18433840691335387,-0.7121905170937741,20111,-0.9929755314053879,2.8433939062298514,-0.24687373362970214,,,,
"MA(7,10,0.001,1,2)",7.0,10.0,0.001,1,2.0,False,-0.060825334858078464,-0.18433840691335387,-0.7121905170937741,20111,-0.9929755314053879,2.8433939062298514,-0.24687373362970214,,,,
"MA(7,10,0.001,2,2)",7.0,10.0,0.001,2,2.0,False,-0.060825334858078464,-0.18433840691335387,-0.7121905170937741,20111,-0.9929755314053879,2.8433939062298514,-0.24687373362970214,,,,
"OBV(7,15,0.1,0,0)",7.0,15.0,0.1,0,0.0,False,-0.06117485955616819,-0.18842984441985877,-0.716281954600279,1178,-1.015020718210833,2.8433939062298514,-4.3082373438490364,,,,
"OBV(7,15,0.1,1,0)",7.0,15.0,0.1,1,0.0,False,-0.06133142416326971,-0.19026302158097974,-0.7181151317614,1172,-1.0248955454534796,2.8433939062298514,-4.372421268999486,,,,
"OBV(10,15,0.05,2,1)",10.0,15.0,0.05,2,1.0,False,-0.061683585493248885,-0.19438639358427723,-0.7222385037646974,1330,-1.0471070296417933,2.8433939062298514,-3.9364925926383205,,,,
"OBV(7,15,0.1,2,0)",7.0,15.0,0.1,2,0.0,False,-0.06178241954573052,-0.19554361766375836,-0.7233957278441786,1166,-1.0533406811165098,2.8433939062298514,-4.516898289521912,,,,
"OBV(3,7,0.05,2,0)",3.0,7.0,0.05,2,0.0,False,-0.06193156663562649,-0.19728994497583494,-0.7251420551562552,2794,-1.0627476714557191,2.8433939062298514,-1.9018390684604851,,,,
"OBV(10,15,0.05,0,2)",10.0,15.0,0.05,0,2.0,False,-0.061979077406558475,-0.1978462472925886,-0.7256983574730088,1242,-1.0657442660488645,2.8433939062298514,-4.290435853658875,,,,
"OBV(10,15,0.05,1,2)",10.0,15.0,0.05,1,2.0,False,-0.061979077406558475,-0.1978462472925886,-0.7256983574730088,1242,-1.0657442660488645,2.8433939062298514,-4.290435853658875,,,,
"OBV(10,15,0.05,2,2)",10.0,15.0,0.05,2,2.0,False,-0.061979077406558475,-0.1978462472925886,-0.7256983574730088,1242,-1.0657442660488645,2.8433939062298514,-4.290435853658875,,,,
"CBc(30,0.01,0.001,2)",,,0.001,2,,True,-0.0620523939149631,-0.1987056639476497,-0.72655777412807,5469,-1.07036847753531,2.8433939062298514,-0.9785778730438013,30.0,0.01,,
"OBV(2,5,0.05,2,0)",2.0,5.0,0.05,2,0.0,False,-0.0621306796729887,-0.19962131154540255,-0.7274734217258227,3152,-1.0753061090369247,2.8433939062298514,-1.7057520765179643,,,,
"OBV(5,10,0,1,2)",5.0,10.0,0.0,1,2.0,False,-0.06213100951155806,-0.19962520145615778,-0.727477311636578,50608,-1.0753269125821878,2.8433939062298514,-0.1062408030926126,,,,
"OBV(5,10,0,0,2)",5.0,10.0,0.0,0,2.0,False,-0.06213100951155806,-0.19962520145615778,-0.727477311636578,50608,-1.0753269125821878,2.8433939062298514,-0.1062408030926126,,,,
"OBV(5,10,0,2,2)",5.0,10.0,0.0,2,2.0,False,-0.06213100951155806,-0.19962520145615778,-0.727477311636578,50608,-1.0753269125821878,2.8433939062298514,-0.1062408030926126,,,,
"CBc(30,0.01,0.001,1)",,,0.001,1,,True,-0.062135869531177314,-0.19968306465266958,-0.7275351748330898,5469,-1.075633443253611,2.8433939062298514,-0.9833913359422298,30.0,0.01,,
"OBV(2,5,0.05,2,1)",2.0,5.0,0.05,2,1.0,False,-0.06216265805883859,-0.19999573876161877,-0.727847848942039,2636,-1.0773230465914105,2.8433939062298514,-2.043480740879003,,,,
"CBc(30,0.01,0.001,0)",,,0.001,0,,True,-0.0622238715836657,-0.20071346457708258,-0.7285655747575028,5469,-1.0811838999079533,2.8433939062298514,-0.9884658071932284,30.0,0.01,,
"OBV(3,15,0.05,1,0)",3.0,15.0,0.05,1,0.0,False,-0.06230269002271471,-0.20163533930191954,-0.7294874494823398,3035,-1.0861551286138085,2.8433939062298514,-1.7893824194626171,,,,
"OBV(10,15,0.05,0,1)",10.0,15.0,0.05,0,1.0,False,-0.06230378467795378,-0.20164815635654235,-0.7295002665369625,1330,-1.0862241705995819,2.8433939062298514,-4.083549513532263,,,,
"OBV(10,15,0.05,1,1)",10.0,15.0,0.05,1,1.0,False,-0.06230378467795378,-0.20164815635654235,-0.7295002665369625,1330,-1.0862241705995819,2.8433939062298514,-4.083549513532263,,,,
"OBV(3,7,0.1,1,1)",3.0,7.0,0.1,1,1.0,False,-0.06237825999646422,-0.2025201699310084,-0.7303722801114286,1324,-1.0909214704411403,2.8433939062298514,-4.119794072662916,,,,
"OBV(3,7,0.1,0,1)",3.0,7.0,0.1,0,1.0,False,-0.06237825999646422,-0.2025201699310084,-0.7303722801114286,1324,-1.0909214704411403,2.8433939062298514,-4.119794072662916,,,,
"RSI(18,20,1,2)",,,,1,2.0,False,-0.06269910708046092,-0.20627689124390905,-0.7341290014243292,7989,-1.1111579056382723,2.8433939062298514,-0.6954299071462463,18.0,,20.0,
"RSI(18,20,2,2)",,,,2,2.0,False,-0.06269910708046092,-0.20627689124390905,-0.7341290014243292,7989,-1.1111579056382723,2.8433939062298514,-0.6954299071462463,18.0,,20.0,
"RSI(18,20,0,2)",,,,0,2.0,False,-0.06269910708046092,-0.20627689124390905,-0.7341290014243292,7989,-1.1111579056382723,2.8433939062298514,-0.6954299071462463,18.0,,20.0,
"OBV(2,5,0.1,2,0)",2.0,5.0,0.1,2,0.0,False,-0.06278303232200422,-0.20725955171894642,-0.7351116618993666,1746,-1.1164512300803668,2.8433939062298514,-3.1971684710205235,,,,
"OBV(2,10,0.05,2,1)",2.0,10.0,0.05,2,1.0,False,-0.06290642137758126,-0.20870428451457723,-0.7365563946949975,3097,-1.1242336122548162,2.8433939062298514,-1.8150365067078078,,,,
"OBV(2,5,0.05,1,2)",2.0,5.0,0.05,1,2.0,False,-0.06291928805050322,-0.2088549480134691,-0.7367070581938893,2078,-1.1250451377626822,2.8433939062298514,-2.707038348803374,,,,
"OBV(2,5,0.05,0,2)",2.0,5.0,0.05,0,2.0,False,-0.06291928805050322,-0.2088549480134691,-0.7367070581938893,2078,-1.1250451377626822,2.8433939062298514,-2.707038348803374,,,,
