strategy,s,l,b,c,d,contrarian,mean_excess_return_bps,sharpe_ratio,sharpe_ratio_diff,n_trades,total_return,benchmark_return,betc,n,x,v,k,net_excess_return_bps
"MAc(10,15,0.01,1,1)",10.0,15.0,0.01,1,1.0,True,0.0009118013500397,0.5391871257639856,0.0113350155835654,258,2.9009029497994256,2.8433939062298514,56.21904941471755,,,,,-0.007269324981771565
"MAc(10,15,0.01,2,1)",10.0,15.0,0.01,2,1.0,True,0.0009118013500397,0.5391871257639856,0.0113350155835654,258,2.9009029497994256,2.8433939062298514,56.21904941471755,,,,,-0.007269324981771565
"MAc(7,15,0.01,0,0)",7.0,15.0,0.01,0,0.0,True,-0.0002485509883112,0.5252062568577078,-0.0026458533227123,882,2.82771732315018,2.8433939062298514,16.030143555273128,,,,,-0.028216587517991564
"MAc(7,15,0.01,2,0)",7.0,15.0,0.01,2,0.0,True,-0.0002485509883112,0.5252062568577078,-0.0026458533227123,882,2.82771732315018,2.8433939062298514,16.030143555273128,,,,,-0.028216587517991564
"MAc(7,15,0.01,1,0)",7.0,15.0,0.01,1,0.0,True,-0.0002485509883112,0.5252062568577078,-0.0026458533227123,882,2.82771732315018,2.8433939062298514,16.030143555273128,,,,,-0.028216587517991564
"MAc(3,7,0.01,2,2)",3.0,7.0,0.01,2,2.0,True,-0.0056003819377188,0.4624799343094284,-0.0653721758709918,849,2.4901671766922435,2.8433939062298514,14.665295504665744,,,,,-0.032521995331934936
"MAc(3,7,0.01,0,2)",3.0,7.0,0.01,0,2.0,True,-0.0056003819377188,0.4624799343094284,-0.0653721758709918,849,2.4901671766922435,2.8433939062298514,14.665295504665744,,,,,-0.032521995331934936
"MAc(3,7,0.01,1,2)",3.0,7.0,0.01,1,2.0,True,-0.0056003819377188,0.4624799343094284,-0.0653721758709918,849,2.4901671766922435,2.8433939062298514,14.665295504665744,,,,,-0.032521995331934936
"MAc(3,5,0.01,2,1)",3.0,5.0,0.01,2,1.0,True,-0.0059785807938784,0.458381680668176,-0.0694704295122441,260,2.4663134562564264,2.8433939062298514,47.429104928008194,,,,,-0.014223126709657193
"MAc(3,7,0.01,1,0)",3.0,7.0,0.01,1,0.0,True,-0.0064532985185582,0.4524847393779508,-0.0753673708024693,851,2.4363721073971982,2.8433939062298514,14.314759737938886,,,,,-0.033438331496741865
"MAc(3,7,0.01,0,0)",3.0,7.0,0.01,0,0.0,True,-0.0064532985185582,0.4524847393779508,-0.0753673708024693,851,2.4363721073971982,2.8433939062298514,14.314759737938886,,,,,-0.033438331496741865
"MAc(3,5,0.01,0,1)",3.0,5.0,0.01,0,1.0,True,-0.00660685464863,0.4510168167174099,-0.0768352934630103,260,2.4266870305169204,2.8433939062298514,46.66705827917154,,,,,-0.014851400564408791
"MAc(3,5,0.01,1,1)",3.0,5.0,0.01,1,1.0,True,-0.00660685464863,0.4510168167174099,-0.0768352934630103,260,2.4266870305169204,2.8433939062298514,46.66705827917154,,,,,-0.014851400564408791
"MAc(3,7,0.01,2,0)",3.0,7.0,0.01,2,0.0,True,-0.006689129448114,0.4497222677086717,-0.0781298424717485,851,2.4214978025913494,2.8433939062298514,14.22736664272238,,,,,-0.033674162426297664
"MAc(3,5,0.01,0,0)",3.0,5.0,0.01,0,0.0,True,-0.0087094137655714,0.4263279863217789,-0.1015241238586412,260,2.2940746321491066,2.8433939062298514,44.11681984902128,,,,,-0.016953959681350193
"MAc(3,5,0.01,1,0)",3.0,5.0,0.01,1,0.0,True,-0.0087094137655714,0.4263279863217789,-0.1015241238586412,260,2.2940746321491066,2.8433939062298514,44.11681984902128,,,,,-0.016953959681350193
"MAc(3,5,0.01,2,0)",3.0,5.0,0.01,2,0.0,True,-0.009584289961994,0.4160733670946904,-0.1117787430857298,260,2.238894528175958,2.8433939062298514,43.05566400338381,,,,,-0.017828835877772793
"MAc(2,5,0.01,2,2)",2.0,5.0,0.01,2,2.0,True,-0.012438215840571,0.3822529865299375,-0.1455991236504826,871,2.058892000554936,2.8433939062298514,11.81912744291008,,,,,-0.040057444658429954
"MAc(2,5,0.01,0,2)",2.0,5.0,0.01,0,2.0,True,-0.012438215840571,0.3822529865299375,-0.1455991236504826,871,2.058892000554936,2.8433939062298514,11.81912744291008,,,,,-0.040057444658429954
"MAc(2,5,0.01,1,2)",2.0,5.0,0.01,1,2.0,True,-0.012438215840571,0.3822529865299375,-0.1455991236504826,871,2.058892000554936,2.8433939062298514,11.81912744291008,,,,,-0.040057444658429954
"OBV(10,15,0.1,0,0)",10.0,15.0,0.1,0,0.0,False,-0.0143433671078046,0.3599087599866082,-0.1679433501938119,760,1.93873049034311,2.8433939062298514,12.75480585752046,,,,,-0.038442809015465686
"OBV(10,15,0.1,1,0)",10.0,15.0,0.1,1,0.0,False,-0.0144858635763909,0.3582403010446357,-0.1696118091357845,758,1.9297429673260784,2.8433939062298514,12.729175246214236,,,,,-0.03852188590008446
"OBV(10,15,0.1,2,0)",10.0,15.0,0.1,2,0.0,False,-0.0149919443438785,0.35231471595749,-0.1755373942229302,758,1.897823491767179,2.8433939062298514,12.51862461587849,,,,,-0.03902796666757206
"OBV(7,10,0.1,2,0)",7.0,10.0,0.1,2,0.0,False,-0.016834577796887,0.3307397411224876,-0.1971123690579326,812,1.781605098882372,2.8433939062298514,10.970474746812636,,,,,-0.04258292888770385
"OBV(10,15,0.1,1,1)",10.0,15.0,0.1,1,1.0,False,-0.0168620514135162,0.3304180588454897,-0.1974340513349304,712,1.7798722856816949,2.8433939062298514,12.499103129787184,,,,,-0.03943942330595658
"OBV(10,15,0.1,0,1)",10.0,15.0,0.1,0,1.0,False,-0.0168620514135162,0.3304180588454897,-0.1974340513349304,712,1.7798722856816949,2.8433939062298514,12.499103129787184,,,,,-0.03943942330595658
"OBV(7,10,0.1,1,0)",7.0,10.0,0.1,1,0.0,False,-0.0169659790149089,0.3292011944017659,-0.1986509157786543,812,1.7733173743994155,2.8433939062298514,10.919441960587532,,,,,-0.04271433010572574
"OBV(7,10,0.1,0,0)",7.0,10.0,0.1,0,0.0,False,-0.0170845291860933,0.3278131176597496,-0.2000389925206706,814,1.76584018985749,2.8433939062298514,10.846684212883844,,,,,-0.042896299860877674
"MAc(5,7,0.01,2,1)",5.0,7.0,0.01,2,1.0,True,-0.0171877028868538,0.3271528732137765,-0.2006992369666436,100,1.759332828520494,2.8433939062298514,87.9666414260247,,,,,-0.02035868208523026
"MAc(5,7,0.01,0,1)",5.0,7.0,0.01,0,1.0,True,-0.0171877028868538,0.3271528732137765,-0.2006992369666436,100,1.759332828520494,2.8433939062298514,87.9666414260247,,,,,-0.02035868208523026
"MAc(5,7,0.01,1,1)",5.0,7.0,0.01,1,1.0,True,-0.0171877028868538,0.3271528732137765,-0.2006992369666436,100,1.759332828520494,2.8433939062298514,87.9666414260247,,,,,-0.02035868208523026
"MAc(3,7,0.01,0,1)",3.0,7.0,0.01,0,1.0,True,-0.0177242180032465,0.3204621091991149,-0.2073900009813053,851,1.725493800750886,2.8433939062298514,10.138036432143869,,,,,-0.044709250981430165
"MAc(3,7,0.01,1,1)",3.0,7.0,0.01,1,1.0,True,-0.0177242180032465,0.3204621091991149,-0.2073900009813053,851,1.725493800750886,2.8433939062298514,10.138036432143869,,,,,-0.044709250981430165
"OBV(10,15,0.1,2,1)",10.0,15.0,0.1,2,1.0,False,-0.0177255875954774,0.3203071122051852,-0.2075449979752349,712,1.725407417966658,2.8433939062298514,12.11662512617035,,,,,-0.04030295948791779
"OBV(10,15,0.1,2,2)",10.0,15.0,0.1,2,2.0,False,-0.0178259200345962,0.319132359177946,-0.2087197510024742,670,1.719079260399798,2.8433939062298514,12.828949704476104,,,,,-0.039071480663718475
"OBV(10,15,0.1,0,2)",10.0,15.0,0.1,0,2.0,False,-0.0178259200345962,0.319132359177946,-0.2087197510024742,670,1.719079260399798,2.8433939062298514,12.828949704476104,,,,,-0.039071480663718475
"OBV(10,15,0.1,1,2)",10.0,15.0,0.1,1,2.0,False,-0.0178259200345962,0.319132359177946,-0.2087197510024742,670,1.719079260399798,2.8433939062298514,12.828949704476104,,,,,-0.039071480663718475
