strategy,s,l,b,c,d,contrarian,mean_excess_return_bps,sharpe_ratio,sharpe_ratio_diff,n_trades,total_return,benchmark_return,betc,n,x,v,k
"BB(3,1,2,0)",,,,2,0.0,False,0.42722365373933646,5.530912349089335,5.0030602389089145,109758,29.789201472511905,2.8433939062298514,1.357040100608243,3.0,,,1.0
"SRc(3,0.0005,2,0)",,,0.0005,2,0.0,True,0.4258538404562693,5.514866562265937,4.987014452085517,91798,29.702804746103624,2.8433939062298514,1.6178350697239388,3.0,,,
"BB(3,0.25,2,0)",,,,2,0.0,False,0.41592136586355977,5.398519975762395,4.870667865581974,147587,29.076344701839705,2.8433939062298514,0.9850577863172131,3.0,,,0.25
"BB(3,0.5,2,0)",,,,2,0.0,False,0.4131501744114007,5.3660593674279475,4.838207257247527,143302,28.90156039168827,2.8433939062298514,1.0084144112325115,3.0,,,0.5
"SRc(3,0.00025,0,0)",,,0.00025,0,0.0,True,0.4111744766969616,5.34291722164522,4.8150651114648,111220,28.776949383012944,2.8433939062298514,1.2936949012323748,3.0,,,
"SRc(3,0.00025,1,0)",,,0.00025,1,0.0,True,0.4076150784040137,5.3012242605304305,4.77337215035001,110294,28.55245136981996,2.8433939062298514,1.2943791761029593,3.0,,,
"SRc(3,0,0,0)",,,0.0,0,0.0,True,0.40743942352760854,5.299166736466669,4.771314626286248,131286,28.541372483020822,2.8433939062298514,1.0869922338642666,3.0,,,
"BB(5,0.25,2,0)",,,,2,0.0,False,0.40210421676314095,5.236673458844337,4.708821348663917,124197,28.204870855493,2.8433939062298514,1.1354892169494029,5.0,,,0.25
"BB(5,0.25,1,0)",,,,1,0.0,False,0.3981182310747546,5.189984434683335,4.662132324502914,137957,27.95346716475366,2.8433939062298514,1.0131224644183934,5.0,,,0.25
"SRc(3,0,1,0)",,,0.0,1,0.0,True,0.39724460562694835,5.17975136703655,4.6518992568561295,128290,27.898365947872175,2.8433939062298514,1.087316468464891,3.0,,,
"MAc(2,3,0.00025,1,0)",2.0,3.0,0.00025,1,0.0,True,0.3962964870084439,5.168645573751838,4.640793463571417,143956,27.83856630517772,2.8433939062298514,0.9669123310309303,,,,
"SRc(3,0.0005,1,0)",,,0.0005,1,0.0,True,0.3948515262563183,5.151720721655289,4.623868611474869,93512,27.747429885115732,2.8433939062298514,1.4836293676274561,3.0,,,
"SRc(3,0.0005,0,0)",,,0.0005,0,0.0,True,0.3875579598109828,5.06629034326617,4.538438233085749,93842,27.287410791632176,2.8433939062298514,1.4539018132409889,3.0,,,
"BB(5,0.5,2,0)",,,,2,0.0,False,0.3835306393035735,5.0191185909165865,4.491266480736166,115207,27.033400035320906,2.8433939062298514,1.173253362873823,5.0,,,0.5
"BB(7,0.25,0,0)",,,,0,0.0,False,0.3789993757333313,4.966044452118132,4.438192341937712,120693,26.74760463254495,2.8433939062298514,1.1080843392966016,7.0,,,0.25
"BB(5,0.5,0,0)",,,,0,0.0,False,0.37538319749528165,4.923688555932377,4.395836445751956,129565,26.519525400332505,2.8433939062298514,1.0234062208286383,5.0,,,0.5
"SRc(3,0.001,2,0)",,,0.001,2,0.0,True,0.37240440994714685,4.888800379376453,4.360948269196032,65014,26.331647609975303,2.8433939062298514,2.0250751845737307,3.0,,,
"MAc(2,3,0.00025,2,0)",2.0,3.0,0.00025,2,0.0,True,0.37134009894798015,4.876332187786116,4.3484800776056955,121492,26.26451949306696,2.8433939062298514,1.0809155949802027,,,,
"MAc(2,3,0,1,0)",2.0,3.0,0.0,1,0.0,True,0.37084269121590185,4.870506189914279,4.342654079733858,200604,26.233147042330092,2.8433939062298514,0.6538540368669142,,,,
"BB(5,1,2,0)",,,,2,0.0,False,0.36406536285722385,4.791126197380112,4.263274087199691,88373,25.805688065824384,2.8433939062298514,1.4600436822233251,5.0,,,1.0
"BB(5,1,1,0)",,,,1,0.0,False,0.357860274037186,4.71844890105234,4.190596790871919,89681,25.414321324275843,2.8433939062298514,1.416928966240109,5.0,,,1.0
"CBc(5,0.02,0.00025,2)",,,0.00025,2,,True,0.35605402989011126,4.697293516327195,4.169441406146775,69811,25.30039807405596,2.8433939062298514,1.8120638634352724,5.0,0.02,,
"BB(5,1,0,0)",,,,0,0.0,False,0.35565925206530485,4.692669533984071,4.16481742380365,90259,25.275498686567552,2.8433939062298514,1.4001650077315035,5.0,,,1.0
"RSI(3,20,2,0)",,,,2,0.0,False,0.35547533427048605,4.690514373999245,4.162662263818825,110310,25.26389864180452,2.8433939062298514,1.1451318394435916,3.0,,20.0,
"RSI(3,10,2,0)",,,,2,0.0,False,0.35397909325225085,4.672989780690095,4.1451376705096745,127130,25.16952787792649,2.8433939062298514,0.9899129976373198,3.0,,10.0,
"MAc(2,5,0.00025,2,0)",2.0,5.0,0.00025,2,0.0,True,0.35346746677218105,4.666998268348225,4.139146158167804,110648,25.137258623738177,2.8433939062298514,1.1359111155980306,,,,
"CBc(5,0.02,0,2)",,,0.0,2,,True,0.35169220646978466,4.646206092275512,4.118353982095091,79867,25.025289583471462,2.8433939062298514,1.5666852131338014,5.0,0.02,,
"BB(5,0.5,1,0)",,,,1,0.0,False,0.35044804791046624,4.631633902514821,4.1037817923344,123349,24.946818139233986,2.8433939062298514,1.0112290387126766,5.0,,,0.5
"CBc(5,0.01,0.00025,2)",,,0.00025,2,,True,0.3491733655633833,4.616704575903055,4.088852465722635,68251,24.866421501707006,2.8433939062298514,1.8216891695145132,5.0,0.01,,
"SRc(3,0.001,1,0)",,,0.001,1,0.0,True,0.34716993560592385,4.593241231685334,4.065389121504913,65518,24.74006136777312,2.8433939062298514,1.8880354534458559,3.0,,,
"SRc(3,0.001,0,0)",,,0.001,0,0.0,True,0.346319658217382,4.5832825489166265,4.055430438736206,65596,24.686432757350744,2.8433939062298514,1.8817026005664022,3.0,,,
"CBc(5,0.04,0.00025,2)",,,0.00025,2,,True,0.3460075412295657,4.579625533382516,4.051773423202095,69965,24.666746945906894,2.8433939062298514,1.762791892082248,5.0,0.04,,
"CBc(5,0.075,0.00025,2)",,,0.00025,2,,True,0.3428496150769256,4.5426391756073645,4.014787065426944,69977,24.467570543400193,2.8433939062298514,1.74825803788389,5.0,0.075,,
"CBc(5,0.04,0,2)",,,0.0,2,,True,0.34140030310817254,4.525664559775079,3.9978124495946585,80029,24.376159683838196,2.8433939062298514,1.5229579079982378,5.0,0.04,,
"MAc(2,5,0.0005,2,0)",2.0,5.0,0.0005,2,0.0,True,0.34117603590789014,4.523037571685376,3.995185461504956,90686,24.362014725408706,2.8433939062298514,1.343207039973574,,,,
"CBc(5,0.01,0,2)",,,0.0,2,,True,0.3411403129982429,4.522619510385398,3.9947674002049776,78247,24.35976161362373,2.8433939062298514,1.5565939661344033,5.0,0.01,,
"CBc(5,0.01,0.00025,1)",,,0.00025,1,,True,0.3399862409747381,4.509102832541872,3.981250722361452,68603,24.286972098364433,2.8433939062298514,1.7701100606653086,5.0,0.01,,
"CBc(5,0.01,0.00025,0)",,,0.00025,0,,True,0.3379935545268209,4.48576422247361,3.9579121122931897,68723,24.161289577990047,2.8433939062298514,1.7578750620600125,5.0,0.01,,
"CBc(5,0.02,0.00025,1)",,,0.00025,1,,True,0.3379218884860788,4.484924861524763,3.957072751344343,70173,24.156769464634962,2.8433939062298514,1.7212296370851299,5.0,0.02,,
"CBc(5,0.075,0,2)",,,0.0,2,,True,0.33779276831329075,4.4834125913711835,3.9555604811907634,80041,24.148625610008892,2.8433939062298514,1.5085159861826372,5.0,0.075,,
"CBc(5,0.02,0.0005,2)",,,0.0005,2,,True,0.3363057206988773,4.46599614159306,3.9381440314126395,59869,24.054834691577373,2.8433939062298514,2.0089557777461935,5.0,0.02,,
